Suburb,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Total Persons
Bowral,541,705,850,777,520,384,379,501,789,879,871,892,994,1202,1039,741,610,578,13252
Hill Top,418,498,534,461,375,380,304,355,431,464,450,366,283,295,221,139,73,60,6107
Mittagong,491,510,547,718,465,422,351,389,509,509,599,616,613,572,487,374,270,208,8650
Moss Vale,565,651,726,580,443,467,440,511,604,547,689,615,617,722,453,344,255,257,9486
Robertson,200,261,218,200,133,100,155,234,293,221,239,241,259,319,237,106,61,66,3543
Southern Highlands,279,441,394,340,203,146,184,327,411,463,473,512,591,653,451,281,189,187,6525
Baulkham Hills ,1850,1809,1482,1259,1146,1360,1758,1978,1994,1616,1334,1144,1154,1236,912,626,381,336,23375
Baulkham Hills,1133,1332,1448,1689,1797,1027,1043,1128,1464,1581,1688,1413,1298,982,577,415,203,166,20384
Castle Hill,1843,1939,1822,1983,2055,1707,1799,2111,2217,1989,2055,2091,1897,1690,1097,734,448,416,29893
Cherrybrook,1083,1418,1821,2186,1998,1273,928,1224,1780,2042,2269,1924,1493,1240,854,714,563,1045,25855
Glenhaven,257,363,472,428,514,296,241,277,407,448,521,429,442,339,316,241,220,178,6389
Kellyville,1869,2355,2281,2163,1837,1405,1541,1972,2507,2083,2006,1560,1304,1040,657,400,198,165,27343
West Pennant Hills,639,753,917,986,1053,741,571,661,880,945,1170,1242,1152,863,483,242,155,200,13653
Dural,1150,1355,1642,1849,1432,947,812,1106,1562,1579,1755,1567,1372,1291,907,604,379,355,21664
Galston,335,351,362,384,357,238,233,264,401,378,404,360,355,329,236,152,107,207,5453
Bilpin,154,148,193,205,94,76,120,144,202,249,224,218,168,220,155,72,53,34,2729
Kurrajong Heights,1236,1579,1745,1802,1431,1098,1096,1363,1791,1766,1755,1579,1380,1096,756,416,241,243,22373
Pitt Town,647,716,684,670,642,533,568,608,775,660,679,654,514,480,289,237,132,100,9588
Rouse Hill,1429,1976,1926,1388,1190,930,1201,1758,2187,1515,1178,1082,863,739,443,224,93,123,20245
Blacktown,1629,1095,869,812,1066,1895,2091,1379,1055,933,833,741,721,539,423,324,271,249,16925
Blacktown,1480,1257,1135,1156,1324,1434,1459,1336,1142,930,975,1116,1029,758,459,452,304,337,18083
Blacktown ,2209,2055,1870,1866,1955,2200,2269,2055,2086,1756,1896,1599,1353,1042,874,795,469,482,28831
Doonside,1505,1537,1431,1657,1863,1575,1639,1383,1478,1553,1441,1474,1186,814,470,331,227,222,21786
Lalor Park,1854,1779,1561,1541,1644,1687,2020,1800,1846,1654,1731,1692,1481,1089,702,548,475,408,25512
Seven Hills,1772,1577,1425,1448,1591,1983,2117,1817,1611,1456,1556,1464,1320,1243,732,491,336,300,24239
Glenwood,1100,1350,1411,1390,1281,965,1130,1346,1586,1290,1117,843,612,476,296,132,75,65,16465
Parklea,3421,3128,2251,1769,1806,2376,3595,3597,3012,1919,1552,1129,833,603,377,190,124,85,31767
Quakers Hill,2394,2078,1897,1913,1960,2179,2547,2401,2045,1797,1685,1460,1089,843,441,237,169,176,27311
Riverstone,793,809,794,858,815,806,814,811,829,766,842,740,711,611,426,288,175,170,12058
Bidwill,1639,1732,1734,1714,1514,1309,1072,1043,1368,1181,1082,1012,970,950,569,338,193,91,19511
Glendenning Dean Park,786,696,702,699,637,643,805,709,616,602,604,402,290,207,124,70,73,105,8770
Hassall Grove,1593,1686,1761,1866,1817,1691,1425,1460,1580,1549,1578,1156,826,487,300,201,150,144,21270
Lethbridge Park,1716,1526,1572,1545,1373,1326,1209,1087,1221,1031,897,806,737,801,635,367,196,122,18167
Mount Druitt,2107,1974,1767,1817,1749,1783,1821,1541,1445,1457,1299,1143,935,807,608,428,259,173,23113
Prospect Reservoir,0,0,0,1,6,2,0,4,0,0,2,0,0,0,0,3,0,2,20
Rooty Hill,1477,1467,1507,1689,1748,1530,1564,1503,1391,1436,1469,1251,1031,819,496,319,235,325,21257
Banksmeadow,0,0,0,0,0,2,0,0,0,0,0,0,2,6,2,2,0,0,14
Botany,832,819,536,551,560,570,743,883,968,727,657,474,459,408,315,227,185,208,10122
Mascot,1569,1249,1038,1223,1699,2363,2306,1801,1745,1328,1331,1219,966,935,747,648,424,347,22938
Pagewood,710,645,535,711,983,926,894,738,847,770,727,646,629,567,474,312,230,309,11653
Port Botany Industrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sydney Airport,1,0,0,0,0,1,7,0,0,0,3,0,1,0,1,1,0,0,15
Marrickville,1707,1348,1023,971,1891,2659,2770,2391,2393,1761,1642,1452,1177,1072,800,780,557,453,26847
Petersham,1138,923,689,706,1555,2435,2479,1932,1861,1470,1252,914,870,708,486,399,268,247,20332
Sydenham,528,381,217,249,675,780,1003,886,762,543,532,478,373,259,180,146,103,108,8203
Darlinghurst,337,145,106,132,872,2206,2222,1255,901,779,672,515,445,372,194,122,113,83,11471
Erskineville,963,453,352,403,1116,2494,2806,1998,1570,1137,962,657,518,321,187,131,84,69,16221
Glebe,809,536,412,696,2114,2850,2183,1741,1394,978,994,973,911,741,423,258,203,169,18385
Newtown,1087,615,468,1005,3563,3801,3293,2314,1849,1479,1179,925,691,519,350,233,141,142,23654
Potts Point,542,251,186,375,1503,3013,3009,2180,1766,1301,1274,1095,988,881,647,386,248,374,20019
Pyrmont,878,479,365,783,3317,4354,3818,2102,1429,938,962,815,726,551,330,252,146,82,22327
Redfern,731,400,210,387,2357,3467,2890,1806,1477,1203,1160,860,776,589,456,426,311,193,19699
Surry Hills,533,260,143,267,1586,3379,3260,2014,1471,1151,869,707,526,438,265,248,186,245,17548
Sydney,903,288,220,918,5002,5881,5027,2247,1401,961,1100,960,958,742,413,319,166,189,27695
Waterloo,1351,725,640,1048,3208,4373,3841,2483,1984,1329,1232,1121,928,820,574,512,348,238,26755
Bondi,1315,911,771,667,1328,2395,2983,2007,1665,1164,1072,908,839,675,496,392,293,379,20260
Bondi Beach,1558,1016,685,650,1451,3018,3574,2598,2021,1186,996,770,661,604,389,302,251,288,22018
Bondi Junction,1172,887,723,679,1096,1947,2058,1547,1467,1148,913,871,762,720,564,490,412,556,18012
Centennial Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Double Bay,1412,1206,1204,1380,1588,2566,2873,2094,1921,1505,1595,1517,1408,1557,1112,863,614,838,27253
Dover Heights,830,709,615,606,721,840,983,893,911,758,696,645,622,521,376,250,218,285,11479
Paddington,932,687,417,430,1053,2205,2115,1539,1448,1052,881,693,668,775,551,295,157,172,16070
Rose Bay,770,877,955,1046,859,609,631,722,848,904,901,791,691,761,493,334,318,373,12883
Woollahra,480,381,274,278,484,686,783,600,582,467,478,435,446,462,394,227,209,333,7999
Coogee,1819,1428,1073,918,1858,2719,3223,2467,2225,1734,1501,1318,1130,989,700,508,398,484,26492
Kensington,1286,1062,977,2349,6348,4054,2584,1729,1528,1435,1267,1150,936,932,754,632,531,464,30018
Malabar,1354,1442,1351,1423,1609,1411,1402,1582,1746,1804,1764,1584,1434,1328,918,684,565,633,24034
Maroubra,2016,1666,1537,1793,2860,2796,2841,2559,2288,1935,1930,1758,1468,1343,1112,999,764,796,32461
Randwick,2025,1486,1087,1051,2552,3896,3609,2777,2514,1865,1781,1410,1198,998,718,603,530,671,30771
Bankstown,3252,2677,2004,1975,2637,2943,3072,2460,2200,1986,1939,1790,1377,1059,798,644,495,543,33851
Bass Hill,1598,1674,1507,1454,1605,1444,1476,1387,1483,1369,1352,1285,1121,1165,842,604,452,430,22248
Chullora,7,3,1,0,5,19,12,4,1,2,4,1,0,2,3,2,2,2,70
Condell Park,903,935,742,830,800,796,766,742,712,674,678,624,512,478,334,258,204,214,11202
Greenacre,2143,2339,2099,2120,2113,1907,1849,1666,1561,1607,1609,1439,1201,1030,707,627,439,560,27016
Padstow,1097,954,994,1020,1034,1124,1046,971,1130,1137,1309,1080,885,780,577,533,460,567,16698
Panania,1671,1852,1616,1711,1690,1481,1723,1785,1893,1707,1777,1656,1391,1323,927,737,600,569,26109
Revesby,1107,1080,1010,1060,1202,1207,1174,1204,1144,1177,1107,1047,792,653,507,449,368,553,16841
Yagoona,1563,1485,1528,1454,1587,1546,1500,1304,1307,1330,1401,1271,1058,828,622,478,422,515,21199
Belmore,1457,1351,1144,1313,1401,1499,1616,1338,1357,1333,1354,1148,965,891,746,629,439,391,20372
Canterbury,1999,1517,1385,1613,2072,2952,2812,2045,2079,1950,2012,1810,1412,1040,864,793,514,462,29331
Kingsgrove,1522,1521,1302,1337,1384,1366,1575,1789,1948,1813,1650,1431,1292,1337,1064,999,709,647,24686
Lakemba,3092,2188,1646,1546,2031,2847,3151,2367,1789,1513,1358,1173,855,700,580,425,323,310,27894
Punchbowl,1790,1564,1444,1587,1624,1652,1595,1285,1265,1279,1299,1231,946,777,643,424,312,306,21023
Roselands,999,1006,831,900,879,936,955,998,1005,1016,878,762,674,666,483,404,363,371,14126
Hurstville,1481,1091,1077,1279,1917,2749,2003,1363,1360,1241,1420,1293,938,796,643,625,354,447,22077
Mortdale,1593,1301,1194,1244,1685,2058,2159,1716,1736,1595,1695,1534,1269,1009,678,526,502,643,24137
Narwee,894,790,701,839,917,1016,1026,848,909,966,917,855,764,651,524,514,369,490,13990
Oatley,805,763,694,817,902,791,740,845,903,823,1000,874,764,663,478,365,316,417,12960
Peakhurst,1214,1274,1245,1153,1191,866,957,1223,1390,1256,1244,1101,935,1004,819,770,575,624,18841
Riverwood,706,536,524,597,774,736,794,656,627,633,681,680,591,539,380,365,255,267,10341
South Hurstville,1318,1346,1465,1613,2046,2065,1842,1399,1680,1619,1694,1566,1280,1098,750,651,514,591,24537
Arncliffe,1328,940,837,997,1378,1961,1998,1428,1270,1083,870,826,767,586,432,396,250,253,17600
Bexley,1945,1638,1542,1648,1736,2194,2492,1949,1975,1705,1751,1564,1390,1105,813,704,532,543,27226
Kingsgrove,819,835,826,815,766,720,810,969,1024,848,844,733,680,704,524,499,385,370,13171
Kogarah,806,566,506,479,685,1179,1369,961,774,650,613,441,356,381,293,233,240,239,10771
Kogarah Bay,1151,828,855,846,1092,1377,1485,1164,1164,1062,1186,1041,842,743,538,363,324,303,16364
Monterey,812,722,722,664,710,960,1183,1111,1186,973,906,803,877,761,572,551,412,337,14262
Rockdale,1474,897,825,839,1597,2785,2412,1707,1356,1094,1047,981,792,712,519,439,326,434,20236
Sans Souci,1017,943,769,824,718,896,971,1049,1257,1223,1122,1041,963,980,790,626,482,606,16277
Concord,1422,1415,1214,1251,1338,1300,1460,1619,1719,1578,1691,1462,1289,1194,894,684,486,505,22521
Concord West,1746,1076,861,1100,2441,3450,3037,1929,1583,1201,1173,965,682,590,438,303,224,255,23054
Drummoyne,1317,1118,738,808,941,1369,1532,1588,1563,1404,1208,1129,1019,993,662,571,499,620,19079
Five Dock,1469,1114,879,903,1040,1410,1859,1828,1629,1495,1406,1280,1169,1032,798,655,583,496,21045
Balmain,1109,906,682,484,714,1199,1712,1500,1568,1247,1054,1111,1013,901,561,310,166,185,16422
Leichhardt,2148,1470,986,798,1764,2458,2826,2858,2632,2031,1538,1443,1341,994,640,450,368,331,27076
Lilyfield,1231,906,483,456,629,1040,1667,1630,1481,1093,994,745,739,596,359,251,169,171,14640
Ashfield,1551,1080,871,1055,1948,3047,2564,1986,1705,1544,1438,1279,1089,833,709,614,513,694,24520
Burwood,1377,1075,1032,1297,2554,3107,2092,1552,1446,1398,1571,1328,1034,860,618,617,537,571,24066
Canterbury,598,548,544,591,622,731,723,714,853,801,736,620,581,491,384,329,211,185,10262
Croydon Park,1120,1021,985,1038,1265,1262,1310,1201,1338,1161,1279,971,966,768,618,537,466,374,17680
Dulwich Hill,1153,982,770,693,920,1547,1616,1590,1520,1290,1119,970,716,608,509,406,272,262,16943
Haberfield,840,837,714,643,932,1047,1239,1066,1153,976,1083,772,683,565,421,391,320,430,14112
Homebush,1068,683,621,797,1392,2377,1976,1065,900,799,771,649,456,312,257,215,134,114,14586
Strathfield,1351,1230,1360,1665,2845,3914,2622,1672,1519,1695,1775,1589,1290,1063,809,686,551,672,28308
Chatswood,1599,1369,1246,1413,2182,2678,2711,2227,2069,1615,1542,1248,1193,1016,694,515,492,578,26387
Chatswood,1351,1249,956,1000,1346,1811,2000,1624,1583,1299,1244,1040,886,782,558,425,342,427,19923
Lane Cove,1727,1788,1617,1655,1678,1597,1856,1883,2057,1950,1769,1572,1437,1354,890,658,532,697,26717
St Leonards,801,473,299,316,655,1472,1634,1175,947,574,549,506,422,346,200,165,98,95,10727
Willoughby,1892,2075,1890,1558,1408,1091,1406,1834,2325,2072,1906,1678,1432,1288,922,682,638,654,26751
Asquith,1180,1387,1215,1255,1278,893,1023,1360,1511,1376,1562,1335,1041,904,563,395,304,264,18846
Berowra,830,963,938,799,665,571,610,850,1114,924,956,836,649,671,392,257,126,108,12259
Hornsby,2509,1925,1586,1581,1938,2383,3261,3251,2598,2015,1902,1627,1374,1241,949,701,543,756,32140
Normanhurst,1219,1353,1403,1503,1188,889,967,1219,1478,1400,1434,1111,1038,969,771,547,357,409,19255
Gordon,1025,1249,1675,1849,1579,1027,1089,1163,1475,1640,1701,1407,1119,1046,797,586,468,669,21564
Lindfield,1226,1842,1807,1807,1429,974,881,1300,1767,1769,1848,1501,1224,1048,785,658,450,690,23006
Pymble,855,1258,1449,1538,1163,663,631,905,1328,1457,1444,1029,944,800,596,375,284,384,17103
St Ives,1045,1416,1506,1606,1337,701,775,1075,1537,1534,1655,1400,1172,1102,1009,810,606,650,20936
Turramurra,1071,1441,1502,1450,1075,589,709,1103,1396,1577,1385,1178,1067,1043,882,719,675,904,19766
Wahroonga,874,1270,1454,1606,1431,770,720,898,1337,1435,1519,1270,965,1041,744,590,460,512,18896
Cremorne,1339,890,740,664,884,1941,2400,1851,1681,1331,1329,1156,1110,1077,725,439,268,346,20171
Crows Nest,1095,604,456,478,1182,2511,2947,2198,1431,1051,921,911,944,795,515,374,237,222,18872
Mosman,1662,1865,1917,1719,1558,1874,1992,2039,2553,2290,2108,1773,1674,1792,1245,805,587,823,30276
Neutral Bay,961,549,316,347,1159,2571,2698,1911,1322,989,1025,1081,961,911,713,454,368,486,18822
North Sydney,518,298,285,428,732,1564,1609,1204,888,672,717,615,574,512,411,245,135,161,11568
Balgowlah,1610,2014,1537,1305,1076,822,890,1527,1934,1702,1574,1180,1019,940,682,499,439,430,21180
Manly,1634,1013,688,717,1365,2529,3368,2596,1835,1326,1224,1103,1098,996,737,503,408,466,23606
Avalon,705,882,958,806,679,464,517,605,1071,947,1040,992,1004,991,682,404,344,364,13455
Bayview,524,726,702,708,598,378,428,534,778,835,898,813,763,772,636,437,312,391,11233
Newport,856,1014,822,916,845,591,706,833,1031,983,1252,1108,999,806,581,367,228,238,14176
Warriewood,1748,1752,1570,1356,1342,1135,1361,1953,1955,1669,1651,1550,1383,1278,916,696,565,594,24474
Beacon Hill,906,991,924,950,912,650,685,889,1154,1079,1044,869,716,678,519,510,381,444,14301
Cromer,555,651,510,455,427,332,388,583,657,577,490,417,384,403,343,264,209,264,7909
Dee Why,1922,1388,1071,1085,1501,2376,2810,2326,2133,1705,1689,1414,1139,911,660,509,436,435,25510
Forestville,779,1233,1106,876,596,373,452,903,1216,1031,916,734,584,579,600,570,418,407,13373
Frenchs Forest,1577,2026,1947,1805,1352,836,962,1661,2091,2124,1838,1410,1323,1498,1294,858,645,665,25912
Freshwater,1666,1238,1058,1074,1238,1922,2414,2057,1938,1572,1357,1124,919,669,440,341,327,367,21721
Manly Vale,1362,1387,1109,928,948,867,1204,1416,1625,1325,1122,940,820,701,550,423,402,480,17609
Narrabeen,1764,1502,1434,1264,1430,1795,1902,1891,2043,1620,1600,1287,1284,1161,923,720,576,968,25164
Terrey Hills,168,267,289,277,249,186,121,182,304,334,269,273,204,271,192,106,49,49,3790
Camden,860,984,802,792,895,881,927,942,914,806,853,762,786,703,501,377,341,547,13673
Elderslie,1490,1603,1536,1393,1097,1049,1249,1461,1581,1288,1259,971,847,669,440,332,187,146,18598
Mount Annan,2503,2390,2142,2103,1936,2031,2290,2346,2333,1899,1705,1194,919,712,452,314,151,104,27524
Bradbury,1470,1486,1524,1607,1528,1336,1413,1321,1315,1189,1142,1053,1039,955,620,381,223,177,19779
Campbelltown,1212,1076,1056,1158,1565,1544,1353,1054,1041,1035,1010,977,911,748,508,432,319,266,17265
Claymore,1523,1614,1590,1846,1848,1628,1536,1300,1285,1383,1591,1443,1132,714,365,232,131,140,21301
Holsworthy Military Area,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ingleburn,1240,1119,1147,1295,1456,1368,1237,1191,1318,1402,1340,1329,1083,832,485,389,238,236,18705
Leumeah,1140,1075,1002,1042,1076,1233,1324,1114,1067,945,984,1179,1245,1023,600,345,191,192,16777
Macquarie Fields,1723,1706,1673,1822,1643,1665,1824,1696,1552,1463,1480,1503,1212,1014,660,417,275,284,23612
Minto,1371,1268,1250,1383,1558,1625,1426,1247,1229,1268,1381,1278,1083,719,387,242,167,150,19032
Rosemeadow,1540,1526,1451,1580,1781,1708,1383,1209,1426,1355,1629,1536,1281,894,491,320,170,150,21430
Bargo,352,450,453,403,342,272,299,384,424,414,378,323,362,272,209,150,94,80,5661
Douglas Park,562,546,568,567,454,350,460,493,630,684,612,504,478,393,242,151,124,111,7929
Picton,1139,1250,1164,1201,1067,904,920,1043,1310,1103,1198,1095,870,809,571,371,273,293,16581
The Oaks,609,762,731,627,648,640,565,634,749,559,651,602,609,474,249,190,75,93,9467
Blackheath,292,328,315,278,218,176,262,262,462,465,471,422,475,515,382,217,141,119,5800
Blaxland,1155,1348,1324,1322,1166,953,1096,1197,1474,1277,1398,1454,1419,1090,737,464,276,281,19431
Blue Mountains,0,0,4,3,0,3,0,0,0,2,0,2,0,0,1,6,1,5,27
Katoomba,660,803,721,745,722,640,637,725,982,919,1038,1169,1120,1017,746,463,338,393,13838
Lawson,744,812,809,761,584,555,579,675,863,850,995,881,858,584,391,257,170,175,11543
Springwood,1333,1446,1566,1654,1315,1064,1067,1419,1686,1521,1614,1684,1501,1317,773,571,380,556,22467
Wentworth Falls,362,371,358,324,255,281,278,263,379,429,480,469,536,524,392,257,187,192,6337
Blue Mountains,0,0,0,3,0,1,0,0,2,0,0,0,0,0,0,1,0,0,7
Cambridge Park,1227,1125,936,1084,1239,1424,1323,1135,1062,854,992,1191,1014,886,444,245,142,145,16468
Castlereagh,1534,1380,1387,1519,1616,1633,1364,1345,1334,1307,1347,1118,832,667,385,269,136,97,19270
Emu Plains,1062,987,914,973,886,799,1056,1146,998,870,893,847,984,912,549,374,233,227,14710
Glenmore Park,1670,1854,1925,1879,1671,1519,1707,1758,1869,1699,1535,1212,894,663,340,235,131,124,22685
Jamisontown,1286,1154,1094,981,1291,1433,1436,1201,1200,954,1057,1085,1172,1032,619,383,254,279,17911
Kingswood,1660,1491,1160,1244,1613,1812,1693,1305,1401,1149,1150,1046,872,716,451,302,195,141,19401
Mulgoa,434,535,566,611,533,468,381,477,546,544,541,455,443,412,266,179,114,85,7590
Penrith,912,689,564,622,1027,1282,1090,906,822,734,699,677,592,620,452,350,334,460,12832
Warragamba,383,429,418,433,368,277,289,393,409,417,404,364,232,194,125,97,64,52,5348
Richmond,853,816,816,955,1258,1172,941,793,1018,868,807,757,725,688,546,432,309,399,14153
Windsor,1206,1263,1162,1235,1365,1441,1136,978,1075,1181,1157,839,655,525,410,268,194,196,16286
Yarramundi,451,524,533,465,682,472,399,488,559,537,518,425,430,314,197,104,53,46,7197
Erskine Park,410,419,515,697,692,457,442,396,441,608,658,424,315,162,104,44,33,41,6858
St Clair,1436,1329,1348,1460,1735,1739,1543,1281,1406,1280,1621,1611,1197,720,363,199,136,106,20510
St Marys,2259,1971,1719,1866,2197,2377,2266,1833,1957,1745,1851,1712,1391,1349,908,607,441,387,28836
Auburn,3442,2485,2109,2459,3389,4326,3583,2448,2188,2044,1999,1776,1292,1073,745,537,406,430,36731
Homebush Bay,1185,856,582,526,965,1912,2361,1709,1434,1016,822,776,541,349,188,109,39,58,15428
Lidcombe,2536,2004,1819,2192,2839,3427,3125,2419,2153,2051,2194,2180,1541,1089,879,636,406,563,34053
Rookwood Cemetery,0,0,1,0,0,3,0,0,0,0,1,1,0,0,0,1,0,0,7
Carlingford,1440,1727,1783,1940,1870,1563,1440,1591,1906,1943,2182,1892,1565,1291,1115,875,569,562,27254
Ermington,1597,1396,1255,1402,1369,1457,1727,1542,1786,1522,1500,1241,1033,839,601,500,437,424,21628
Oatlands,1109,942,1054,1220,1316,1150,1198,1187,1266,1317,1337,1089,927,743,638,479,334,323,17629
Chester Hill,1268,1286,1178,1350,1330,1345,1189,1083,1157,1133,1264,1099,893,640,473,418,444,471,18021
Fairfield,1188,1153,1010,1075,1213,1145,969,906,983,924,969,938,777,594,492,401,390,402,15529
Granville,1934,1286,1153,1238,1785,2232,1941,1484,1277,1210,1201,1060,849,636,497,318,272,225,20598
Greystanes,2095,1893,1515,1627,1654,1598,2245,2122,1890,1700,1491,1359,1396,1520,1028,693,392,265,26483
Guildford,1964,1625,1483,1511,1569,1860,1558,1296,1114,1182,1184,1052,917,726,588,419,331,361,20740
Guildford West,1806,1474,1222,1354,1493,1758,1893,1443,1388,1262,1285,1121,902,749,539,491,397,431,21008
Merrylands,2408,1849,1582,1720,2153,2824,2835,2100,1854,1594,1507,1503,1220,1116,776,554,463,522,28580
Smithfield Industrial,4,0,0,0,0,1,5,0,0,0,0,3,4,4,1,1,0,0,23
Yennora Industrial,3,2,0,0,0,2,3,0,0,0,0,0,0,4,0,1,0,0,15
Girraween,2525,2021,1576,1432,1701,2673,3207,2497,1983,1708,1686,1362,1210,1032,719,662,519,565,29078
North Parramatta,1626,1070,939,1307,2040,2960,3014,1942,1483,1235,1296,1148,854,610,454,379,318,488,23163
North Rocks,509,569,554,563,490,373,415,603,690,602,573,550,476,541,458,186,122,173,8447
Northmead,1844,1221,787,701,1174,2582,2825,2047,1334,974,968,809,761,690,448,340,258,414,20177
Parramatta,2664,1320,833,824,2450,5440,5083,2681,1454,1026,1061,1025,694,545,341,269,208,183,28101
Toongabbie,1625,1356,1204,1357,1455,1715,1663,1595,1648,1463,1398,1245,1078,1072,868,752,524,547,22565
Winston Hills,860,840,716,676,585,553,823,884,914,708,646,607,593,672,516,325,195,193,11306
Epping,1334,1372,1526,1886,2114,1862,1666,1608,1764,1694,2008,1785,1468,1084,862,703,529,581,25846
Pennant Hills,1107,1268,1325,1516,1520,978,990,1144,1390,1475,1600,1510,1218,1101,794,673,504,538,20651
Eastwood,1360,1516,1373,1478,2242,2040,1564,1545,1677,1646,1933,1710,1391,1128,759,645,549,554,25110
Gladesville,914,898,816,793,821,1039,1119,1190,1187,1097,927,818,745,760,523,434,319,350,14750
Hunters Hill,609,748,791,1303,601,413,387,594,745,757,745,631,561,597,388,294,269,462,10895
Macquarie Park,1238,675,522,872,3337,2724,2259,1477,1214,912,910,957,880,683,530,460,447,615,20712
North Ryde,792,829,818,698,771,712,762,790,1044,1039,914,888,714,598,545,455,352,423,13144
Ryde,1882,1748,1648,1573,2202,2423,2552,2246,2229,2038,1900,1657,1438,1194,928,799,734,721,29912
West Ryde,1344,943,756,761,1356,2060,2414,1709,1344,1128,1035,951,912,632,486,432,232,237,18732
Ashcroft,1536,1409,1482,1504,1393,1208,1128,1015,961,1037,1192,986,690,599,530,543,289,192,17694
Badgerys Creek,833,735,785,834,785,789,837,733,735,745,631,621,671,528,337,254,186,231,11270
Cobbitty,646,743,653,630,849,746,539,513,658,560,613,576,465,528,389,233,118,102,9561
Green Valley,1929,2295,2545,2703,2630,2198,2045,1925,2331,2289,2420,2047,1470,898,659,385,262,163,31194
Hoxton Park,1784,1797,1914,1855,1600,1639,1940,1843,1951,1635,1431,1084,663,531,328,159,118,88,22360
Bonnyrigg Heights,976,1094,1045,1263,1406,1324,1143,945,1050,1154,1272,1174,888,644,414,274,165,179,16410
Bossley Park,1141,1143,1255,1417,1686,1355,1254,1138,1281,1221,1532,1491,1249,912,633,389,266,275,19638
Cabramatta,1672,1624,1658,1682,1770,1805,1835,1594,1930,1876,1779,1564,1283,897,724,581,473,473,25220
Cabramatta West,1134,1305,1271,1383,1242,1155,1056,1038,1156,1121,1179,1068,818,612,539,485,413,269,17244
Canley Vale,1474,1492,1321,1550,1669,1608,1445,1355,1541,1438,1534,1327,965,716,600,423,410,347,21215
Edensor Park,523,601,668,809,906,874,703,585,641,690,860,710,571,427,268,174,119,101,10230
Fairfield,1345,1250,1080,1301,1358,1600,1431,1241,1311,1216,1280,1095,815,649,539,415,295,256,18477
Fairfield,1257,1375,1478,1399,1388,1196,1295,1246,1346,1185,1152,1070,906,834,693,448,315,267,18850
Greenfield Park,439,549,580,577,629,631,573,483,492,484,582,627,504,404,340,214,152,87,8347
Horsley Park,221,266,274,400,338,277,243,245,331,369,381,301,279,236,196,150,132,89,4728
Smithfield,1093,1154,1114,1285,1361,1276,1162,1150,1212,1070,1236,1154,1060,918,707,585,488,259,18284
St Johns Park,591,665,749,773,909,770,755,715,694,709,815,824,736,572,422,301,221,166,11387
Wetherill Park Industrial,0,0,0,0,3,2,0,5,5,0,2,5,3,1,0,1,0,0,27
Casula,1176,1231,1097,1164,1221,1355,1160,1052,1213,1079,1123,890,755,577,408,319,227,230,16277
Chipping Norton,1415,1156,1090,1062,1119,1231,1402,1331,1226,1108,1034,999,1010,1023,601,376,225,222,17630
Holsworthy,1556,1466,1492,1541,1620,1677,1674,1532,1747,1468,1415,1016,718,505,413,258,192,197,20487
Liverpool,2648,2092,1754,1857,2463,2860,3027,2247,1979,1874,2005,1949,1438,1275,997,724,539,382,32110
Prestons,2381,2542,2270,2133,1953,1914,2086,2241,2152,1971,1770,1444,1046,790,649,540,329,296,28507
Caringbah,1812,1861,1703,1519,1778,1751,1726,1855,1944,1834,1881,1799,1558,1364,946,798,818,835,27782
Cronulla,1744,1643,1545,1515,2491,2924,2425,2043,2180,2023,2229,2212,1846,1638,1107,782,695,806,31848
Gymea,1043,1166,1143,1172,1181,1037,1028,1188,1388,1297,1285,1186,978,922,648,512,408,344,17926
Miranda,1286,1193,1010,963,1152,1303,1445,1353,1395,1165,1240,1082,872,793,725,709,621,629,18936
Sylvania,915,879,857,914,815,851,922,1021,1122,1058,985,1005,888,1014,954,782,636,724,16342
Engadine,2075,2263,2068,1890,1819,1512,1636,1963,2337,1925,1868,1777,1683,1676,1102,626,407,338,28965
Heathcote,505,445,431,438,509,304,369,458,467,434,490,463,338,316,243,206,167,193,6776
Illawong,523,538,718,897,1079,736,477,516,630,804,1068,1058,864,556,320,185,141,137,11247
Menai,1290,1352,1626,1912,1826,1191,1147,1245,1557,1643,1810,1680,1461,964,531,313,229,148,21925
Oyster Bay,1587,1726,1391,1327,1225,1075,1187,1636,1862,1513,1503,1372,1210,1145,797,467,397,406,21826
Royal National Park,0,0,0,0,4,3,2,7,0,0,0,0,0,0,1,1,0,0,18
Sutherland,1517,1155,920,941,1339,1865,1873,1709,1655,1188,1346,1099,949,959,744,535,497,592,20883
