SUBURB,POSTCODE,HOUSE PRICE,HOUSE RENT PRICE,UNIT PRICE,UNIT RENT PRICE
LITTLE BAY,2036,1420000,850,855000,620
MILPERRA,2214,732500,540,1080000,0
PLUMPTON,2761,530000,425,425625,430
STANWELL TOPS,2508,937166,0,0,0
BEROWRA HEIGHTS,2082,825750,630,630000,0
FORESTVILLE,2087,1267500,850,857550,560
CASTLECRAG,2068,2357500,1400,903750,0
HASSALL GROVE,2761,540000,400,0,0
WATTLE GROVE,2173,675000,510,514078,480
PENNANT HILLS,2120,1135000,610,531000,460
AUSTINMER,2515,965000,650,635000,495
ELIZABETH BAY,2011,4025000,0,696000,475
CARINGBAH SOUTH,2229,1282000,750,910800,665
NORTH RYDE,2113,1315500,675,931000,597.5
PUNCHBOWL,2196,750000,500,409125,377.5
SOUTH HURSTVILLE,2221,1110000,570,620000,530
GIRRAWEEN,2145,750000,460,535000,440
BOW BOWING,2566,503500,440,330000,0
BAYVIEW,2104,1650000,1125,1575000,0
MACQUARIE LINKS,2565,843500,630,501400,0
WISEMANS FERRY,2775,225000,0,0,0
GLENORIE,2157,1442500,660,0,0
AUSTRAL,2179,1800000,420,0,0
WAHROONGA,2076,1420000,890,726390,560
ST ANDREWS,2566,493500,420,334375,0
MILSONS POINT,2061,3030000,0,1450000,720
CHESTER HILL,2162,700000,500,425000,420
PENRITH,2750,535000,412.5,365000,332.5
CRANEBROOK,2749,525000,430,416500,395
SHALVEY,2770,418500,360,0,0
EVELEIGH,2015,0,0,638500,650
ABBOTSBURY,2176,800000,550,0,0
BARDEN RIDGE,2234,1000000,720,730166,0
HARRINGTON PARK,2567,697000,550,0,0
INGLEBURN,2565,555000,420,370000,340
MINTO HEIGHTS,2566,745777,0,0,0
BALGOWLAH,2093,1606250,1200,860000,590
GREENFIELD PARK,2176,688000,510,529571,0
KELLYVILLE RIDGE,2155,850000,630,525000,455
NORTH SYDNEY,2060,1770500,950,735500,550
DENISTONE,2114,1460000,710,800000,590
CARSS PARK,2221,1380000,640,693333,0
KINGSWOOD,2747,524000,395,363500,330
MALABAR,2036,1607000,862.5,1000000,0
DOLANS BAY,2229,1400000,657.5,1442500,0
SMITHFIELD,2164,622500,430,490000,455
BAULKHAM HILLS,2153,967500,580,680000,520
ALEXANDRIA,2015,1300000,795,580000,580
KYLE BAY,2221,1450000,700,0,0
