SUBURB,POSTCODE,HOUSE PRICE,HOUSE RENT PRICE,UNIT PRICE,UNIT RENT PRICE
POINT PIPER,2027,10000000,3150,1675000,1030
VAUCLUSE,2030,3675000,1600,949000,675
ENMORE,2042,1200000,725,637500,500
WOOLLOOMOOLOO,2011,1140166,825,746100,575
GORDON,2072,2042500,920,820000,630
LANSDOWNE,2430,232500,0,0,0
PEAKHURST,2210,955000,550,757000,550
SUTHERLAND,2232,880500,550,545000,430
RODD POINT,2046,1815000,890,0,0
WOMBARRA,2515,847500,575,850000,0
EAST RYDE,2113,1375000,785,1180333,0
WENTWORTHVILLE,2145,875000,450,460000,410
HUNTLEYS COVE,2111,1300000,0,1015000,750
RUSHCUTTERS BAY,2011,3250000,0,650000,477.5
RYDE,2112,1318000,650,620000,480
NORTH PARRAMATTA,2151,959000,500,538500,430
KINGS PARK,2148,627500,460,404714,390
TURRELLA,2205,1030000,600,580000,550
MANLY,2095,2100000,1300,938750,675
SYLVANIA,2224,1110500,690,755500,550
GLEN ALPINE,2560,680000,560,525000,0
BEECROFT,2119,1402000,680,690000,540
WATERLOO,2017,1177500,670,794000,620
WEST RYDE,2114,1250000,585,600000,420
NAREMBURN,2065,1700000,990,808000,630
SOUTH TURRAMURRA,2074,1295000,782.5,831400,0
KILLARA,2071,2057500,985,871500,610
HEBERSHAM,2770,445000,360,155000,0
CARRAMAR,2163,550000,430,310000,300
NEWPORT,2106,1400000,900,672500,520
SOUTH MAROOTA,2756,983125,0,0,0
YARRAWARRAH,2233,818000,0,548500,0
FAIRFIELD HEIGHTS,2165,660000,450,488750,500
