SUBURB,HOUSE PRICE,UNIT PRICE
NEWPORT,1400000,672500
ULTIMO,1283250,510000
BILGOLA,2708333,683500
PORT BOTANY,0,0
AVALON,2400000,0
BALGOWLAH,1606250,860000
CASTLEREAGH,1275000,0
PUTNEY,1733000,1188750
RANDWICK,2000000,730000
WETHERILL PARK,705000,357000
NORTH BALGOWLAH,1580000,545000
HOLROYD,965500,525775
NORTH WAHROONGA,1410000,316667
EAST LINDFIELD,1865000,0
MILSONS PASSAGE,549000,0
BANKSTOWN AERODROME,0,0
STRATHFIELD,1910000,662500
SMITHFIELD,622500,490000
MENANGLE PARK,1200000,0
KILLARNEY HEIGHTS,1430000,872157
MINCHINBURY,615000,712916
BUSBY,495000,0
NORTH STRATHFIELD,1390000,642000
GALSTON,895000,560187
TAREN POINT,1400000,686111
PLUMPTON,530000,425625
DAVIDSON,1280000,735000
DEE WHY,1350000,620500
LILYVALE,466667,0
ZETLAND,1015000,800000
WOLLSTONECRAFT,2230000,887000
REVESBY HEIGHTS,865000,710000
EASTWOOD,1474000,666888
LAVENDER BAY,5135222,620550
QUAKERS HILL,655000,539000
ALEXANDRIA,1300000,580000
PEMULWUY,781000,485505
BIDWILL,393250,320000
THIRROUL,860000,607000
BAULKHAM HILLS,967500,680000
DARLING POINT,5500000,1570000
CHISWICK,2364000,745000
CHESTER HILL,700000,425000
BIRRONG,767500,600333
GILEAD,11050000,0
NORTH SYDNEY,1770500,735500
NORTH WILLOUGHBY,1876250,706250
WOODCROFT,669500,500250
CARSS PARK,1380000,693333
CONCORD WEST,1602500,840000
HURSTVILLE GROVE,1350000,1058000
PANANIA,850000,630000
PHILLIP BAY,1324285,529000
DARKES FOREST,1400000,0
CANLEY VALE,662000,360000
OXFORD FALLS,1625000,0
DURAL,1300000,650000
RIVERWOOD,880000,585500
NARELLAN,519000,357833
VOYAGER POINT,650000,0
DANGAR ISLAND,749166,0
MAROUBRA,1520000,740000
GLADESVILLE,1500000,607250
DOLLS POINT,1690350,605000
PROSPECT,630000,488005
GLENMORE PARK,622750,457500
NORTH PARRAMATTA,959000,538500
CECIL PARK,1445000,0
LILLI PILLI,1615000,1180000
MASCOT,1085000,754500
NARWEE,972500,556000
YARRAWARRAH,818000,548500
KIRRAWEE,902500,567000
ST PETERS,995000,665000
BELLEVUE HILL,3425000,886500
GLEBE,1460000,687500
GLENHAVEN,1350000,899000
CLEMTON PARK,1045500,715000
ENGLORIE PARK,449100,436166
WARRIEWOOD,1215000,724000
SYLVANIA,1110500,755500
HEATHCOTE,815402,625000
BOX HILL,2150000,0
DOONSIDE,550000,494995
MAIANBAR,930000,720000
BEAUMONT HILLS,950000,1220000
ROSSMORE,1535000,0
WENTWORTHVILLE,875000,460000
DOUBLE BAY,2875000,1156000
ELDERSLIE,590000,387500
CAMPSIE,1100000,570000
TENNYSON POINT,1825000,0
ENMORE,1200000,637500
MORTDALE,940000,570000
BEROWRA,875000,780000
KIRKHAM,1199175,0
AIRDS,999135,0
HOXTON PARK,622500,465650
KILLARA,2057500,871500
BRONTE,2450000,929000
WOOLOOWARE,1350000,795000
TERREY HILLS,1270000,532500
HASSALL GROVE,540000,0
BURWOOD HEIGHTS,1915000,710250
SACKVILLE NORTH,880000,0
BRINGELLY,1225000,0
ST JOHNS PARK,667500,438000
GUILDFORD WEST,650000,505000
KIRRIBILLI,3200000,921000
AMBARVALE,460000,300000
HORNSBY HEIGHTS,940000,784500
ASQUITH,1050000,776400
COOGEE,2253250,835000
MOOREBANK,720000,505550
GREYSTANES,726000,585000
DRUMMOYNE,1637500,887000
GORDON,2042500,820000
WENTWORTH POINT,31156250,605000
BERRILEE,1680000,660000
BANGOR,868000.5,687250
WATERFALL,700000,20000
WESTMEAD,913000,510000
CLAREMONT MEADOWS,566300,397142
BEACON HILL,1166250,1010666
WAVERTON,2330000,896250
EASTLAKES,1090000,533500
MANLY VALE,1298000,650000
PITT TOWN,912500,340000
CENTENNIAL PARK,4325000,624000
LEWISHAM,1210000,573750
EASTERN CREEK,580000,480000
HUNTLEYS COVE,1300000,1015000
KYLE BAY,1450000,0
CHATSWOOD WEST,1470500,1150000
ST HELENS PARK,466000,342428
CONDELL PARK,775000,640000
MINTO HEIGHTS,745777,0
HABERFIELD,1835000,654195
SHALVEY,418500,0
BURRANEER,1740000,1550000
HOMEBUSH WEST,988000,550000
GREENFIELD PARK,688000,529571
LONGUEVILLE,3000000,1350000
SOUTH MAROOTA,983125,0
KENTHURST,1566000,740000
FAIRFIELD EAST,619500,170875
CANLEY HEIGHTS,687500,502000
ENGADINE,797000,552000
HILLSDALE,1271142,524000
CONCORD,1500500,775000
OTFORD,764285,0
BOW BOWING,503500,330000
DUNDAS,913500,634000
WOOLLAHRA,2105000,940000
HUNTERS HILL,2020000,900000
PRESTONS,635000,471000
CAMBRIDGE GARDENS,460000,359000
MELROSE PARK,1331000,959400
VARROVILLE,1010000,0
EARLWOOD,1150000,700000
LANSDOWNE,232500,0
KENTLYN,855357,0
STANMORE,1315000,620000
ROSEBERY,1264250,708000
HEBERSHAM,445000,155000
SCARBOROUGH,706000,0
ALLAWAH,1130000,625000
CAMPBELLTOWN,495000,380000
NAREMBURN,1700000,808000
WAVERLEY,1815000,679000
ERSKINEVILLE,1030000,729000
COALCLIFF,1445828,0
FRESHWATER,1685000,650000
COLEDALE,1055777,637500
GYMEA,950000,680000
STANHOPE GARDENS,782975,557500
LILYFIELD,1392500,926250
ASHBURY,1311000,0
MILLER,480500,280000
POINT PIPER,10000000,1675000
DHARRUK,452500,0
NARRAWEENA,1181000,712000
CHIPPING NORTON,810000,420000
COWAN,830000,593800
BONNYRIGG,626500,441625
LALOR PARK,576000,299000
PEAKHURST,955000,757000
WORONORA HEIGHTS,860500,727000
COLYTON,475500,391000
SCOTLAND ISLAND,650000,0
BEROWRA CREEK,779214,0
CARINGBAH,1006001,579000
YENNORA,700000,342100
GREEN VALLEY,626000,476500
SANS SOUCI,1350000,704000
OLD GUILDFORD,724000,502446
BLAKEHURST,1455000,739000
RABY,480000,372666
ROZELLE,1320000,1015000
EMERTON,400250,337690
MONTEREY,1380000,665000
ST CLAIR,550000,507500
SADLEIR,495000,0
WOLLI CREEK,765000,670000
RUSSELL LEA,1517500,845000
SCHOFIELDS,785000,572500
MERRYLANDS,750000,435000
WATSONS BAY,2800000,1740000
BLACKETT,389000,0
GREENWICH,2165000,682500
BUNDEENA,750000,669000
OATLANDS,1213000,712500
VAUCLUSE,3675000,949000
CROMER,1100000,536500
WHALAN,388000,0
CLYDE,1037500,352000
WILLMOT,375000,226000
NORTH BONDI,2085000,904000
RUSHCUTTERS BAY,3250000,650000
MILLERS POINT,1803111,1075000
MERRYLANDS WEST,717000,406500
HURLSTONE PARK,1168500,665000
LIBERTY GROVE,1175000,670000
RIVERVIEW,1805000,954000
NORTH ROCKS,1066000,688000
BROOKLYN,700592,400000
THORNLEIGH,1000000,730000
HOLSWORTHY,639250,560250
BRIGHTON-LE-SANDS,1265000,660000
BREAKFAST POINT,2337500,965000
CECIL HILLS,760000,518833
WOODBINE,510500,428500
BARDWELL PARK,1257500,578666
WAREEMBA,1500000,660000
NORTH NARRABEEN,1140000,830000
BEACONSFIELD,1076000,754000
PENSHURST,1200000,550000
MILSONS POINT,3030000,1450000
CANADA BAY,1400000,797500
KOGARAH BAY,1195000,808000
ELIZABETH HILLS,752500,522500
ASHCROFT,530000,545000
WARWICK FARM,540000,392500
BALGOWLAH HEIGHTS,2000000,985000
RODD POINT,1815000,0
BONDI BEACH,2055000,864000
LEETS VALE,388333,0
MARSFIELD,1485000,715000
GLEN ALPINE,680000,525000
NORTHBRIDGE,2300000,860000
LIDCOMBE,950000,610000
FAIRLIGHT,1690000,880000
BANKSTOWN,800000,440000
CATTAI,1022500,0
MENAI,910000,650000
AGNES BANKS,722500,0
CASTLE COVE,1915000,0
MEADOWBANK,3250000,560000
BEVERLEY PARK,1225000,1127200
EAGLE VALE,470000,396142
BLIGH PARK,535000,406250
VINEYARD,615144,165000
SOUTH TURRAMURRA,1295000,831400
WERRINGTON COUNTY,500000,496750
MOUNT LEWIS,871500,310000
AUBURN,825000,450750
MALABAR,1607000,1000000
BROOKVALE,1190000,575000
AUSTRAL,1800000,0
WARRAWEE,2305000,786000
DAWES POINT,2866250,1680000
TREGEAR,385000,275000
SANDY POINT,816000,440000
BEROWRA HEIGHTS,825750,630000
MOORE PARK,0,750000
KAREELA,990000,0
STRATHFIELD SOUTH,1100000,600000
CHERRYBROOK,1212500,793000
KOGARAH,1000000,604000
ORCHARD HILLS,1335000,0
PEAKHURST HEIGHTS,998000,623666
ELANORA HEIGHTS,1192500,881400
EPPING,1550000,785000
BASS HILL,722500,555000
NELSON,1414000,0
WATTLE GROVE,675000,514078
CARLTON,1130000,615000
CABRAMATTA,737000,390000
MINTO,497500,346000
LINDFIELD,2020000,789000
PLEASURE POINT,1175500,0
WERRINGTON DOWNS,505000,0
MARRICKVILLE,1062000,625000
ST IVES,1550000,750000
CASTLECRAG,2357500,903750
