gordon, 2042500
botany, 1137500
naremburn, 1700000
castlereagh, 1275000
leppington, 655000
balmain, 1550000
brighton-le-sands, 1265000
enmore, 1200000
lane cove west, 1585000
randwick, 2000000
east ryde, 1375000
moorebank, 720000
macquarie fields, 500000
parklea, 738000
miranda, 950500
killarney heights, 1430000
south turramurra, 1295000
connells point, 1690000
cambridge park, 489000
bow bowing, 503500
rhodes, 1837500
sans souci, 1350000
ashbury, 1311000
holroyd, 965500
ultimo, 1283250
acacia gardens, 700000
allawah, 1130000
yennora, 700000
dharruk, 452500
lilyfield, 1392500
pleasure point, 1175500
quakers hill, 655000
henley, 4329444
centennial park, 4325000
monterey, 1380000
emerton, 400250
georges hall, 770500
south maroota, 983125
minto, 497500
green valley, 626000
bundeena, 750000
homebush, 1556500
chippendale, 1301000
pagewood, 1400000
holsworthy, 639250
terrey hills, 1270000
wallacia, 548000
pemulwuy, 781000
kareela, 990000
lindfield, 2020000
coalcliff, 1445828
clemton park, 1045500
coogee, 2253250
earlwood, 1150000
picnic point, 900000
blairmount, 526000
horsley park, 1285000
denistone east, 1320000
mortdale, 940000
macquarie park, 7000000
padstow, 850000
mount annan, 605000
cromer, 1100000
prairiewood, 729000
riverstone, 615250
oxford falls, 1625000
haberfield, 1835000
silverwater, 767500
matraville, 1300000
liberty grove, 1175000
pennant hills, 1135000
padstow heights, 830000
cronulla, 1675000
clovelly, 2082500
ermington, 996000
windsor downs, 1225000
dean park, 535400
narellan vale, 534000
airds, 999135
hurlstone park, 1168500
kellyville ridge, 850000
forest lodge, 1135000
werrington county, 500000
glenhaven, 1350000
peakhurst, 955000
jamisontown, 560850
lewisham, 1210000
windsor, 587500
tamarama, 3227500
helensburgh, 710000
hornsby heights, 940000
caringbah, 1006001
dee why, 1350000
belrose, 1246000
ambarvale, 460000
villawood, 630000
glenfield, 598800
turramurra, 1560000
waverton, 2330000
arcadia, 1505000
cattai, 1022500
cecil park, 1445000
maroubra, 1520000
ropes crossing, 550000
croydon park, 1097500
plumpton, 530000
marsfield, 1485000
coledale, 1055777
fairlight, 1690000
darlington, 1180000
bradbury, 457000
milsons passage, 549000
west pymble, 1334000
fairfield heights, 660000
willoughby, 1700000
edgecliff, 1957285
kirribilli, 3200000
ramsgate, 967000
bellevue hill, 3425000
stanhope gardens, 782975
chatswood west, 1470500
rouse hill, 910000
queenscliff, 2422500
clontarf, 2550000
greenacre, 812500
artarmon, 1950000
dural, 1300000
regentville, 582500
ku-ring-gai chase, 1300000
bilgola, 2708333
wolli creek, 765000
mosman, 2800000
penrith, 535000
edmondson park, 731920
loftus, 837000
berkshire park, 1075000
campbelltown, 495000
daceyville, 1251666
bronte, 2450000
sefton, 720000
croydon, 1360000
leets vale, 388333
sutherland, 880500
northbridge, 2300000
galston, 895000
woronora heights, 860500
north st marys, 450000
liverpool, 671750
kings langley, 782500
fiddletown, 2775000
hinchinbrook, 615000
heathcote, 815402
st peters, 995000
bondi beach, 2055000
longueville, 3000000
cowan, 830000
cabarita, 2080000
oran park, 625000
lugarno, 1060000
the rocks, 680000
middle dural, 1811830
kingsgrove, 1100000
russell lea, 1517500
huntleys cove, 1300000
canley heights, 687500
hillsdale, 1271142
north ryde, 1315500
warrawee, 2305000
westleigh, 1025000
east lindfield, 1865000
la perouse, 1537500
roseville chase, 1750000
st ives chase, 1527500
eastwood, 1474000
werrington, 536250
narellan, 519000
haymarket, 10000000
waitara, 1422625
yowie bay, 1365000
waterfall, 700000
harrington park, 697000
neutral bay, 1745500
narrabeen, 1770000
fairfield, 665000
balmain east, 2520000
merrylands, 750000
smeaton grange, 161000
kirkham, 1199175
lansvale, 633000
enfield, 1145000
dundas, 913500
prestons, 635000
tregear, 385000
smithfield, 622500
the ponds, 862750
lilyvale, 466667
south wentworthville, 710000
glenwood, 802000
condell park, 775000
port hacking, 1490000
chester hill, 700000
scarborough, 706000
sydney, 6300000
potts hill, 654333
darling point, 5500000
tempe, 950000
sackville north, 880000
kenthurst, 1566000
pendle hill, 779250
badgerys creek, 1320000
bardwell park, 1257500
wattle grove, 675000
otford, 764285
ramsgate beach, 1728800
strathfield, 1910000
balgowlah, 1606250
menai, 910000
brookvale, 1190000
revesby, 850000
putney, 1733000
middle cove, 1670000
voyager point, 650000
bligh park, 535000
zetland, 1015000
kangaroo point, 1740000
grays point, 995000
ashfield, 1350000
willmot, 375000
balgowlah heights, 2000000
gladesville, 1500000
homebush west, 988000
banksmeadow, 1250000
sandringham, 1500000
st clair, 550000
bringelly, 1225000
wisemans ferry, 225000
castlecrag, 2357500
chatswood, 1817500
oatley, 1350000
denham court, 769955
rose bay, 2885000
west hoxton, 690000
dundas valley, 907500
varroville, 1010000
warwick farm, 540000
watsons bay, 2800000
barden ridge, 1000000
thirroul, 860000
toongabbie, 727000
rodd point, 1815000
mcmahons point, 2680000
mount pritchard, 580000
riverwood, 880000
berowra, 875000
wetherill park, 705000
beecroft, 1402000
constitution hill, 730000
hobartville, 500000
north sydney, 1770500
rushcutters bay, 3250000
north curl curl, 1600000
austinmer, 965000
revesby heights, 865000
denistone, 1460000
seaforth, 1750000
allambie heights, 1217500
sylvania waters, 1801000
greendale, 1586666
vineyard, 615144
seven hills, 640550
kingswood, 524000
granville, 750000
londonderry, 885000
hornsby, 960000
rossmore, 1535000
parramatta, 940000
potts point, 3147500
cabramatta west, 736000
bonnyrigg heights, 655000
lurnea, 567500
malabar, 1607000
kogarah, 1000000
menangle park, 1200000
st marys, 509000
shanes park, 770000
birchgrove, 1680000
kirrawee, 902500
east hills, 800000
north strathfield, 1390000
little bay, 1420000
north turramurra, 1400000
chiswick, 2364000
jannali, 860000
cremorne point, 4411000
spring farm, 565000
minto heights, 745777
carlton, 1130000
crows nest, 1445000
northmead, 860750
south hurstville, 1110000
birrong, 767500
panania, 850000
warriewood, 1215000
rydalmere, 942500
redfern, 1180000
beverly hills, 1050000
rockdale, 1026250
rosehill, 760000
cartwright, 500000
arncliffe, 960000
gymea, 950000
eastern creek, 580000
berowra heights, 825750
sandy point, 816000
girraween, 750000
rozelle, 1320000
dulwich hill, 1253787.5
kingsford, 1750000
killara, 2057500
waterloo, 1177500
hunters hill, 2020000
eagle vale, 470000
hassall grove, 540000
dolls point, 1690350
lalor park, 576000
oyster bay, 990000
st leonards, 2350000
bella vista, 1295000
elizabeth hills, 752500
telopea, 939500
darkes forest, 1400000
bondi, 1900000
campsie, 1100000
milsons point, 3030000
mount colah, 880000
tennyson point, 1825000
harris park, 889000
south penrith, 540000
melrose park, 1331000
wareemba, 1500000
wentworthville, 875000
port botany, 0
lucas heights, 0
barangaroo, 0
rookwood, 0
royal national park, 0
bankstown aerodrome, 0
