SUBURB,PRIVATE TRAVEL TIME,PUBLIC TRAVEL TIME
WOODCROFT,37 mins,1 hour 23 mins
WOODPARK,37 mins,1 hour 14 mins
WOOLLAHRA,12 mins,17 mins
WOOLLOOMOOLOO,7 mins,17 mins
WOOLOOWARE,37 mins,1 hour 7 mins
WOOLWICH,18 mins,1 hour 16 mins
WORONORA,42 mins,1 hour 30 mins
WORONORA HEIGHTS,51 mins,1 hour 20 mins
YAGOONA,35 mins,1 hour 2 mins
YARRAWARRAH,46 mins,1 hour 38 mins
YENNORA,42 mins,58 mins
YOWIE BAY,39 mins,1 hour 22 mins
ZETLAND,12 mins,19 mins
