SUBURB,PRIVATE TRAVEL TIME,PUBLIC TRAVEL TIME
COLEDALE,1 hour 15 mins,2 hours 10 mins
COLLAROY,37 mins,47 mins
COLYTON,46 mins,1 hour 52 mins
COMO,41 mins,1 hour 3 mins
CONCORD,23 mins,55 mins
CONCORD WEST,26 mins,41 mins
CONDELL PARK,32 mins,1 hour 17 mins
CONNELLS POINT,32 mins,1 hour 11 mins
CONSTITUTION HILL,34 mins,1 hour 27 mins
COOGEE,19 mins,33 mins
COTTAGE POINT,51 mins,n/a
COWAN,43 mins,1 hour 19 mins
CRANEBROOK,55 mins,1 hour 53 mins
CREMORNE,12 mins,21 mins
CREMORNE POINT,14 mins,42 mins
CROMER,33 mins,53 mins
CRONULLA,39 mins,1 hour 5 mins
CROWS NEST,10 mins,18 mins
CROYDON,20 mins,32 mins
CROYDON PARK,21 mins,52 mins
CURL CURL,31 mins,57 mins
CURRANS HILL,48 mins,1 hour 41 mins
DACEYVILLE,17 mins,26 mins
DANGAR ISLAND,52 mins,1 hour 44 mins
DARKES FOREST,1 hour 5 mins,n/a
DARLING POINT,11 mins,23 mins
DARLINGHURST,11 mins,13 mins
DARLINGTON,12 mins,18 mins
DAVIDSON,29 mins,1 hour 10 mins
DAWES POINT,7 mins,18 mins
DEAN PARK,37 mins,1 hour 26 mins
DEE WHY,32 mins,42 mins
DENHAM COURT,43 mins,2 hours 1 min
DENISTONE,27 mins,49 mins
DENISTONE EAST,24 mins,54 mins
DENISTONE WEST,28 mins,50 mins
DHARRUK,42 mins,1 hour 41 mins
DOLANS BAY,42 mins,1 hour 20 mins
DOLLS POINT,25 mins,1 hour 15 mins
DOONSIDE,40 mins,1 hour 9 mins
DOUBLE BAY,10 mins,16 mins
DOVER HEIGHTS,20 mins,41 mins
DRUMMOYNE,12 mins,20 mins
DUFFYS FOREST,39 mins,1 hour 5 mins
DULWICH HILL,19 mins,33 mins
DUNDAS,34 mins,1 hour 3 mins
DUNDAS VALLEY,28 mins,1 hour 16 mins
DURAL,35 mins,1 hour 8 mins
EAGLE VALE,44 mins,1 hour 32 mins
EARLWOOD,27 mins,38 mins
EAST HILLS,32 mins,53 mins
EAST KILLARA,23 mins,57 mins
EAST LINDFIELD,22 mins,43 mins
EAST RYDE,20 mins,37 mins
EASTERN CREEK,42 mins,2 hours 15 mins
EASTGARDENS,16 mins,32 mins
EASTLAKES,15 mins,35 mins
EASTWOOD,27 mins,54 mins
EDENSOR PARK,46 mins,2 hours 5 mins
EDGECLIFF,10 mins,13 mins
EDMONDSON PARK,39 mins,1 hour 57 mins
ELANORA HEIGHTS,39 mins,1 hour 26 mins
ELDERSLIE,56 mins,1 hour 49 mins
ELIZABETH BAY,10 mins,20 mins
ELIZABETH HILLS,46 mins,2 hours 13 mins
EMERTON,43 mins,1 hour 39 mins
ENFIELD,25 mins,1 hour 0 mins
ENGADINE,47 mins,1 hour 18 mins
ENGLORIE PARK,52 mins,1 hour 42 mins
ENMORE,15 mins,23 mins
EPPING,23 mins,43 mins
ERMINGTON,31 mins,49 mins
ERSKINE PARK,45 mins,1 hour 39 mins
ERSKINEVILLE,15 mins,28 mins
ESCHOL PARK,43 mins,1 hour 28 mins
EVELEIGH,14 mins,23 mins
FAIRFIELD,44 mins,1 hour 0 mins
FAIRFIELD EAST,43 mins,1 hour 1 min
FAIRFIELD HEIGHTS,44 mins,1 hour 30 mins
FAIRFIELD WEST,45 mins,1 hour 18 mins
FAIRLIGHT,24 mins,41 mins
FIDDLETOWN,49 mins,n/a
FIVE DOCK,16 mins,31 mins
FOREST LODGE,8 mins,15 mins
FORESTVILLE,22 mins,53 mins
FRENCHS FOREST,25 mins,56 mins
FRESHWATER,28 mins,55 mins
GALSTON,39 mins,1 hour 9 mins
GEORGES HALL,37 mins,1 hour 15 mins
GILEAD,55 mins,2 hours 8 mins
GIRRAWEEN,37 mins,1 hour 9 mins
GLADESVILLE,16 mins,24 mins
GLEBE,8 mins,19 mins
GLEN ALPINE,52 mins,2 hours 38 mins
GLENDENNING,37 mins,1 hour 42 mins
